Dice,Infected,Criterion
1,5,At least 1
2,12,At least 1
3,16,At least 1
4,20,At least 1
5,24,At least 1
7,28,At least 1
10,35,At least 1
15,40,At least 1
20,41,At least 1
30,41,At least 1
1,0,At lesat 2
2,2,At lesat 2
3,3,At lesat 2
4,5,At lesat 2
5,8,At lesat 2
7,13,At lesat 2
10,22,At lesat 2
15,33,At lesat 2
20,39,At lesat 2
30,41,At lesat 2
1,0,At least 4
2,0,At least 4
3,0,At least 4
4,0,At least 4
5,2,At least 4
7,0,At least 4
10,3,At least 4
15,10,At least 4
20,19,At least 4
30,35,At least 4
